county_fips_code,daily_change_cases_max,daily_change_deaths_max,daily_change_cases_mean,daily_change_deaths_mean,weekly_change_cases_max,weekly_change_deaths_max,weekly_change_cases_mean,weekly_change_deaths_mean,monthly_change_cases_max,monthly_change_deaths_max,monthly_change_cases_mean,monthly_change_deaths_mean,total_change_cases,total_change_deaths
17141,48.0,1.0,5.519607843137255,0.03431372549019608,159.0,2.0,36.78787878787879,0.24242424242424243,477.0,3.0,141.54857142857142,0.9428571428571428,1127.0,7.0
17143,98.0,3.0,19.84931506849315,0.3059360730593607,349.0,9.0,138.67605633802816,2.023474178403756,1219.0,20.0,596.7684210526315,8.615789473684211,4348.0,67.0
17145,28.0,2.0,2.1295336787564767,0.08290155440414508,58.0,4.0,15.0,0.5989304812834224,192.0,12.0,64.96341463414635,2.8353658536585367,412.0,16.0
17147,11.0,0.0,1.0841584158415842,0.0,41.0,0.0,7.219387755102041,0.0,91.0,0.0,27.578034682080926,0.0,220.0,0.0
17149,21.0,2.0,1.4,0.02,74.0,2.0,8.896907216494846,0.1134020618556701,171.0,3.0,30.34502923976608,0.3157894736842105,281.0,4.0
17151,4.0,1.0,0.21686746987951808,0.006024096385542169,8.0,1.0,1.5375,0.04375,15.0,1.0,6.781021897810219,0.21897810218978103,37.0,1.0
17153,10.0,1.0,1.1487179487179486,0.005128205128205128,24.0,1.0,8.11111111111111,0.037037037037037035,73.0,1.0,33.46987951807229,0.18072289156626506,228.0,1.0
17155,6.0,0.0,0.5443037974683544,0.0,22.0,0.0,3.7565789473684212,0.0,48.0,0.0,15.790697674418604,0.0,88.0,0.0
17157,36.0,1.0,5.819512195121951,0.06829268292682927,120.0,3.0,39.653266331658294,0.49246231155778897,358.0,6.0,165.8068181818182,2.0511363636363638,1195.0,14.0
17159,30.0,2.0,1.6294416243654823,0.07614213197969544,69.0,5.0,11.408376963350785,0.5130890052356021,193.0,11.0,45.833333333333336,1.6071428571428572,322.0,15.0
17161,67.0,4.0,18.239436619718308,0.45539906103286387,319.0,12.0,126.57971014492753,3.2753623188405796,978.0,35.0,536.8967391304348,14.179347826086957,3886.0,97.0
17163,261.0,13.0,38.918552036199095,0.9909502262443439,667.0,26.0,274.10697674418606,6.976744186046512,2191.0,67.0,1214.7447916666667,30.9375,8603.0,219.0
17165,21.0,2.0,2.4878048780487805,0.04390243902439024,89.0,3.0,17.180904522613066,0.2562814070351759,258.0,6.0,68.76136363636364,0.8806818181818182,511.0,9.0
17167,102.0,5.0,16.398190045248867,0.28054298642533937,504.0,12.0,111.28372093023256,1.9069767441860466,1364.0,23.0,437.8541666666667,7.65625,3626.0,62.0
17169,5.0,1.0,0.4205128205128205,0.005128205128205128,13.0,1.0,2.894179894179894,0.037037037037037035,40.0,1.0,11.114457831325302,0.0963855421686747,83.0,1.0
17171,6.0,0.0,0.8818181818181818,0.0,16.0,0.0,6.115384615384615,0.0,39.0,0.0,29.62962962962963,0.0,98.0,0.0
17173,24.0,2.0,3.0913705583756346,0.050761421319796954,80.0,3.0,21.015706806282722,0.3036649214659686,263.0,6.0,82.51785714285714,0.9821428571428571,611.0,10.0
17175,9.0,1.0,0.413265306122449,0.01020408163265306,20.0,1.0,2.8526315789473684,0.07368421052631578,44.0,2.0,11.089820359281438,0.3592814371257485,82.0,2.0
17177,34.0,3.0,3.9906103286384975,0.03286384976525822,139.0,3.0,26.483091787439612,0.23671497584541062,381.0,5.0,101.93478260869566,1.0869565217391304,851.0,7.0
17179,75.0,5.0,11.832535885167465,0.23923444976076555,296.0,11.0,82.25615763546799,1.625615763546798,911.0,32.0,333.81666666666666,5.7555555555555555,2475.0,50.0
17181,42.0,3.0,3.931216931216931,0.13227513227513227,109.0,6.0,27.51912568306011,0.9562841530054644,250.0,16.0,107.7,4.5125,746.0,25.0
17183,68.0,1.0,7.83743842364532,0.03940886699507389,296.0,2.0,53.36040609137056,0.25380710659898476,974.0,4.0,186.76436781609195,0.9195402298850575,1592.0,8.0
17185,10.0,2.0,1.0808080808080809,0.025252525252525252,38.0,2.0,7.359375,0.18229166666666666,89.0,4.0,30.781065088757398,0.6153846153846154,215.0,5.0
17187,15.0,1.0,2.4145077720207255,0.03626943005181347,65.0,3.0,16.6951871657754,0.24598930481283424,162.0,6.0,60.65243902439025,0.7134146341463414,467.0,7.0
17189,10.0,1.0,1.3133640552995391,0.004608294930875576,37.0,1.0,9.09952606635071,0.03317535545023697,111.0,1.0,38.079787234042556,0.1595744680851064,286.0,1.0
17191,41.0,1.0,2.4598930481283423,0.058823529411764705,82.0,4.0,16.696132596685082,0.3701657458563536,216.0,6.0,64.9746835443038,1.2341772151898733,461.0,11.0
17193,13.0,1.0,1.309782608695652,0.005434782608695652,32.0,1.0,9.123595505617978,0.03932584269662921,83.0,1.0,37.57419354838709,0.12903225806451613,242.0,1.0
17195,75.0,3.0,5.877272727272727,0.11363636363636363,239.0,4.0,39.205607476635514,0.7149532710280374,586.0,7.0,147.18848167539267,3.2198952879581153,1294.0,25.0
17197,352.0,17.0,79.23744292237443,1.9360730593607305,1456.0,47.0,551.2957746478874,13.755868544600938,3903.0,170.0,2320.3842105263157,59.67894736842105,17354.0,424.0
17199,52.0,4.0,8.110599078341014,0.271889400921659,205.0,11.0,56.11374407582938,1.90521327014218,685.0,38.0,241.14361702127658,8.27659574468085,1761.0,59.0
17201,254.0,11.0,43.013636363636365,0.7863636363636364,1293.0,17.0,292.7943925233645,5.462616822429907,4144.0,54.0,1132.6649214659685,24.68586387434555,9464.0,173.0
17203,41.0,4.0,2.6153846153846154,0.06787330316742081,74.0,6.0,18.07906976744186,0.3953488372093023,189.0,9.0,74.26041666666667,1.3854166666666667,579.0,15.0
18001,28.0,1.0,2.137777777777778,0.02666666666666667,92.0,1.0,14.465753424657533,0.1917808219178082,237.0,2.0,52.98979591836735,0.75,482.0,6.0
18003,149.0,11.0,37.265116279069765,1.083720930232558,659.0,28.0,259.50717703349284,7.70334928229665,1987.0,61.0,1098.9193548387098,34.45161290322581,8013.0,233.0
18005,28.0,3.0,6.442922374429224,0.2831050228310502,125.0,12.0,45.460093896713616,2.0140845070422535,347.0,27.0,195.3421052631579,9.384210526315789,1412.0,62.0
18007,5.0,0.0,0.5520833333333334,0.0,13.0,0.0,3.817204301075269,0.0,24.0,0.0,15.865030674846626,0.0,108.0,0.0
18009,8.0,1.0,1.0247524752475248,0.01485148514851485,30.0,1.0,6.846938775510204,0.11224489795918367,87.0,2.0,26.398843930635838,0.4277456647398844,208.0,3.0
